name,stage,amount_raised,current_investors,investment_sector,geography,date,website,Funding Announcment,ctvc_link
Farasis Energy,Undisclosed,479000000,,"Energy, Power & Storage",China,06-Apr-20,farasis.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Plenty,Series D,100000000,Softbank’s Vision Fund,"Food, Agriculture & Forestry",San Francisco,06-Apr-20,pof.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Enovix,Undisclosed,45000000,T.J. Rodgers; York Capital,"Energy, Power & Storage",Fremont,06-Apr-20,enovix.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Vericool,Series A,19000000,Ecosystem Integrity Fund; Radicle Impact; ID8 Investments; Alpha Impact Investment Management,"Waste, Plastic & Recycling","Livermore, California",06-Apr-20,vericoolpackaging.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Natel Energy,Undisclosed,11000000,Schneider Electric Ventures; Breakthrough Energy Venture,"Energy, Power & Storage","Alameda, California",06-Apr-20,natelenergy.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Addionics,Undisclosed,6000000,Next Gear Ventures,"Energy, Power & Storage",Israel,06-Apr-20,addionics.com,,https://www.ctvc.co//climate-tech-vc-newsletter-introduction/
Zhangfei Chuxing,Undisclosed,28000000,,Transportation & Mobility,China,13-Apr-20,,https://www.dealstreetasia.com/stories/china-digest-zhangfei-indeco-183229/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
Pure Harvest Smart Farms,Series A,20000000,Wafra,"Food, Agriculture & Forestry",Middle East,13-Apr-20,pureharvestfarms.com,https://pureharvest.ae/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
Rise Robotics,Undisclosed,3000000,The Engine,Industrial Processes & Management,"Somerville, Massachusetts",13-Apr-20,riserobotics.com,https://www.riserobotics.com/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
ClimateView,Seed,2500000,Norrsken Foundation; Nordic Makers; Max Ventures; GGV Capital,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling; Food, Agriculture & Forestry; Industrial Processes & Management; Transportation & Mobility; General Catalyst; Other; Other: CCUS","Stockholm, Sweden",13-Apr-20,climateviewer.org,https://www.climateview.global/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
AEV Robotics,Undisclosed,2500000,Investible,Transportation & Mobility,Australia,13-Apr-20,,https://aevrobotics.com/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
Amperon,Seed,2000000,SK Ventures; Notation Capital; Blackhorn Ventures; v1.vc; Powerhouse; Intelis Capital; Climate Capital,"Energy, Power & Storage",New York,13-Apr-20,amperon.co,https://amperon.co/?ref=ctvc.co,https://www.ctvc.co//applying-the-exponential-curve/
Juganu,,18000000,Comcast Ventures; Viola Growth; Amdocs,"Buildings; Energy, Power & Storage",Israeli,20-Apr-20,juganu.com,https://juganu.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
OpenInvest,Series A,10500000,QED Investors; SystemIQ; Resolute; ABN AMRO Ventures,General Catalyst,San Francisco,20-Apr-20,openinvest.com,https://www.openinvest.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
Kairos Aerospace,Series C,9000000,OGCI Climate Investments; John Crane; Energy Innovation Capital,"Energy, Power & Storage",Mountain View,20-Apr-20,kairosaerospace.com,http://kairosaerospace.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
Crop Enhancement,Series B,8000000,Spruce Capital; 1955 Capital; Phoenix Venture Partners; Cavallo Ventures; Davinia Investments; Alexandria Ventures,"Food, Agriculture & Forestry","Cambridge, Massachusetts",20-Apr-20,crop-enhancement.com,https://crop-enhancement.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
Atlas AI,Series A,7000000,Airbus Ventures; Rockefeller Foundation; Micron Technology,General Catalyst,"Palo Alto, California",20-Apr-20,atlasair.com,https://www.atlasai.co/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
CoverCress,,5000000,Fulcrum Global Capital; Prelude Ventures; Leaps by Bayer; Prolog Ventures,"Food, Agriculture & Forestry","St. Louis, Missouri",20-Apr-20,covercress.com,http://www.covercress.com/index.php?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
The Climate Service,Series A,3800000,Persei Venture; Synovia Capital; Association of International Certified Professional Accountants,General Catalyst,"Durham, North Carolina",20-Apr-20,,https://www.theclimateservice.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
Electriq Power,Series A,3000000,Various angel investors,"Energy, Power & Storage","San Leandro, California",20-Apr-20,electriqpower.com,https://electriqpower.com/?ref=ctvc.co,https://www.ctvc.co//the-rise-of-climate-reporting/
FreeWire Technologies,Series B,25000000,BP Ventures; ABB Technology Ventures; Energy Innovation Capital,"Energy, Power & Storage","San Leandro, California",27-Apr-20,freewiretech.com,https://freewiretech.com/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
Laird Superfood,,10000000,Danone Manifesto Ventures,"Food, Agriculture & Forestry",Oregon,27-Apr-20,lairdsuperfood.com,https://lairdsuperfood.com/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
EnginZyme,,6400000,Sofinnova Partners,Industrial Processes & Management,Unknown,27-Apr-20,enginzyme.com,http://enginzyme.com/about/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
Biobot Analytics,,4200000,MIT’s The Engine; AmFam Institute Impact Fund; Y Combinator; DCVC,Other,"Somerville, Massachusetts",27-Apr-20,biobot.io,https://www.biobot.io/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
